eval_date,eval_year,province,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2022-12-31,2022,Hải Dương,193437,176211,170124,164012,127777,94673,19535,0.9109477504303727,0.8794801408210425,0.8478832901668243,0.6605613197061576,0.48942549770726385,0.10098895247548298
2023-12-31,2023,Hải Dương,153655,139834,135109,129954,100705,74713,17623,0.910051739286063,0.8793010315316782,0.8457518466694869,0.6553968305619733,0.4862386515245192,0.11469200481598386
2019-12-31,2019,Hải Phòng,206772,162594,150627,139504,107500,75716,8634,0.7863443793163485,0.7284690383610933,0.6746754879770955,0.5198963109125027,0.36618110769349815,0.04175613719459114
2020-12-31,2020,Hải Phòng,243607,199780,185827,172729,133839,94701,13678,0.820091376684578,0.7628146974430127,0.709047769563272,0.5494053947546663,0.3887449868025139,0.05614781184448723
2021-12-31,2021,Hải Phòng,242586,197307,183486,170657,134460,97591,18765,0.8133486681012094,0.7563750587420544,0.7034907208165352,0.5542776582325444,0.4022944440322195,0.07735401053646954
2022-12-31,2022,Hải Phòng,223951,181793,169424,156988,124046,91788,21388,0.811753463927377,0.7565226321829329,0.7009926278516283,0.5538979508910431,0.40985751347392957,0.09550303414586227
2023-12-31,2023,Hải Phòng,183222,145571,134760,123561,96954,71483,19440,0.7945061182609076,0.7355011952713102,0.6743786226544847,0.5291613452532993,0.39014419665760663,0.10610079575596817
2019-12-31,2019,Hậu Giang,80250,60448,54578,48709,37760,26628,2298,0.7532461059190031,0.6800996884735202,0.6069657320872274,0.47052959501557634,0.33181308411214955,0.028635514018691587
2020-12-31,2020,Hậu Giang,96470,74680,67485,60717,45535,31533,3076,0.7741266715040945,0.6995438996579247,0.629387374313258,0.47201202446356383,0.32686845651497876,0.03188556027780657
2021-12-31,2021,Hậu Giang,99969,75128,66669,59415,42625,28170,3183,0.7515129690203963,0.6668967379887765,0.5943342436155208,0.42638217847532733,0.28178735407976474,0.03183987035981154
2022-12-31,2022,Hậu Giang,91905,69174,60697,53329,36538,23353,3242,0.7526685164028073,0.6604319677928295,0.5802622272999293,0.39756270061476523,0.25409934171154996,0.035275556280942276
2023-12-31,2023,Hậu Giang,75325,55017,47593,41296,27249,16777,2684,0.7303949551941586,0.6318353800199137,0.5482376369067374,0.3617524062396283,0.22272817789578495,0.03563226020577497
2019-12-31,2019,Khánh Hòa,141351,95052,83090,63140,46134,28472,3512,0.6724536791391642,0.587827464963106,0.44668944683801315,0.3263790139440117,0.20142765173221272,0.024845950859916095
2020-12-31,2020,Khánh Hòa,160265,119111,103824,80181,57813,35723,4952,0.7432128037937167,0.6478270364708452,0.5003026237793654,0.36073378466914174,0.22289957258290954,0.030898823823043084
2021-12-31,2021,Khánh Hòa,163690,120833,104888,83276,58889,37031,6311,0.7381819292565215,0.6407721913372839,0.5087421345225731,0.3597593011179669,0.22622640356771948,0.03855458488606512
2022-12-31,2022,Khánh Hòa,150738,112479,96692,74330,54529,34732,6829,0.7461887513433905,0.6414573631068476,0.49310724568456527,0.3617468720561504,0.2304130345367459,0.045303772107895816
2023-12-31,2023,Khánh Hòa,122713,90256,76720,58437,43036,27561,6055,0.7355047957429123,0.6251986342115342,0.4762087146431103,0.35070448933690807,0.22459723093722753,0.04934277541906725
2019-12-31,2019,Kiên Giang,194186,140353,123971,95888,66860,41465,5303,0.7227761012637368,0.6384136858475894,0.493794609292122,0.34430906450516513,0.21353238647482312,0.027308868816495524
2020-12-31,2020,Kiên Giang,225538,171371,152893,122873,82396,51097,6880,0.759832046041022,0.6779035018489123,0.5447995459745143,0.3653308976757797,0.22655605707242238,0.030504837322313755
2021-12-31,2021,Kiên Giang,226059,167501,146305,114823,76432,46350,6822,0.7409614304230312,0.6471982977895151,0.507933769502652,0.33810642354429593,0.205034968747097,0.030177962390349422
2022-12-31,2022,Kiên Giang,206643,153401,132984,104714,68186,41407,6654,0.742347914035317,0.6435446639857145,0.5067386749127722,0.3299700449567612,0.20037939828593274,0.0322004616657714
